"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","35","38","46","12","19","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"03:00","34","36","46","12","19","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"04:00","33","34","46","12","19","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"05:00","32","34","46","12","19","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"06:00","31","35","46","12","18","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"07:00","31","37","46","12","18","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","31","42","45","13","19","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"13:00","31","44","45","13","19","11","Baik","Baik","Baik","Baik","Baik","Baik","so2","Baik"
"14:00","30","45","45","13","19","11","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"15:00","30","47","46","13","19","11","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"16:00","30","47","46","13","19","11","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"17:00","30","46","46","12","19","11","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"18:00","30","46","46","12","19","10","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"19:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21:00","34","52","46","14","22","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","35","52","47","14","22","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
