"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","52","67","46","12","22","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","52","67","46","12","23","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","52","68","46","12","22","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","52","67","46","12","21","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","52","67","46","12","22","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","52","68","46","12","22","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","52","68","46","12","23","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","52","68","46","11","23","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","52","67","46","11","24","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","52","65","47","11","24","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
