"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"01:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"02:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"03:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"04:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"05:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"06:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"07:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"08:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"09:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"10:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"11:00","0","0","44","13","15","0","-","-","Baik","Baik","Baik","-","so2","Baik"
"12:00","65","92","44","13","17","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","64","93","45","13","26","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","64","93","45","13","26","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","64","94","45","13","26","15","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","64","95","45","13","25","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","64","95","45","13","25","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","65","96","45","13","25","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","66","96","45","13","26","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
