"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","56","80","38","15","24","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"01:00","56","81","38","17","24","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"02:00","56","81","38","17","24","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"03:00","56","81","38","17","24","13","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","56","78","38","17","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","56","77","38","17","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","55","76","38","17","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","55","74","38","16","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","54","73","38","16","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","53","72","39","16","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","52","71","39","16","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","51","70","39","16","25","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","50","69","39","16","26","12","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","49","69","39","16","26","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","48","69","39","17","26","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","47","70","39","16","26","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","47","71","38","17","26","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","46","71","38","16","26","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","46","71","38","16","25","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","46","71","38","16","25","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","46","70","39","16","24","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","46","72","39","16","24","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
