"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","58","84","44","10","22","28","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","58","81","43","10","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"03:00","58","81","43","10","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","58","81","42","10","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","57","81","42","11","25","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","57","82","41","11","25","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","56","82","40","11","25","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","56","82","40","11","26","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","56","82","39","11","26","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","56","82","39","11","26","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","56","82","39","11","25","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","56","82","39","11","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","56","82","39","11","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","56","81","39","11","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","56","80","39","10","24","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","56","80","38","10","24","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","56","80","38","10","24","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","56","80","38","11","24","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","56","80","38","11","23","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","56","80","38","12","22","28","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","56","80","38","13","21","29","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
