"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","65","91","11","38","30","52","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"04:00","64","90","10","38","30","52","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"05:00","63","88","10","37","30","51","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"06:00","63","87","10","37","29","51","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"07:00","62","85","10","36","29","50","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"08:00","61","83","10","36","29","50","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"09:00","61","82","10","36","29","50","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"10:00","60","81","10","36","29","49","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","60","81","10","36","29","50","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"12:00","59","81","10","36","28","51","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"13:00","59","80","10","36","27","51","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","58","78","9","36","26","52","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","57","77","9","37","26","52","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","57","77","9","37","24","53","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"20:00","57","77","9","37","24","53","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"21:00","57","78","9","37","24","53","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"22:00","57","78","9","36","23","53","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
"23:00","57","78","9","35","23","52","Sedang","Sedang","Baik","Baik","Baik","Sedang","pm25","Sedang"
