"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","54","77","42","18","42","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","55","79","42","17","42","27","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","55","80","42","17","42","27","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","56","81","42","18","42","27","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","56","81","43","18","41","28","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","57","82","43","18","41","29","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","57","82","43","18","41","29","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","58","83","43","18","41","29","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","58","83","43","18","39","29","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","58","83","43","19","33","30","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","59","83","44","19","33","30","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","59","84","44","19","34","30","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","59","85","44","18","34","30","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","59","85","43","18","34","29","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
