"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","56","80","41","8","23","22","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"02:00","56","77","41","8","24","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"03:00","55","75","40","9","25","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","54","74","39","9","25","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","52","72","38","9","26","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","52","71","38","9","27","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","51","68","38","10","27","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","50","66","37","11","27","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","46","64","37","11","29","21","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","45","63","36","11","30","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","43","63","36","11","30","23","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","42","64","36","11","31","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","42","64","36","11","31","25","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","41","64","36","11","31","26","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","41","63","36","12","31","27","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","42","64","36","12","32","27","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","42","64","36","13","32","28","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","43","64","36","14","31","28","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","43","64","36","14","31","29","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
