"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",71.047410192147,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",71.2954260651629,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",71.5382205513784,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",71.6805033416876,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",71.8055555555556,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",71.9315650236703,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",72.140171858217,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",72.3840852130326,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",72.5894597605124,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",72.750626566416,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",72.8976798055745,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",73.0271860206071,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",73.1078497525866,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",73.1616988900823,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",73.213589529379,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",73.2319078947368,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",73.2109071698855,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",73.1327740647916,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",72.9878424130501,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",72.7733395989975,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",72.4944802482396,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",72.1211171869067,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",71.6830572808834,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",71.2229793233083,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
