"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",57.8373015873016,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",58.3698830409357,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",59.0034113060429,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",59.7979323308271,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",60.7529239766082,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",61.8629908103592,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",63.1235827664399,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",64.3947107351713,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",65.6154274575327,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",66.7773600668337,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",67.8595162147793,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",68.8674812030075,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",69.8115481010218,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",70.7229382981263,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",71.5723336118073,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",72.3547149122807,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",73.0573369698756,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",73.6818899099601,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",74.2239370355714,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",74.7313596491228,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",75.2173091458806,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",75.7110579479001,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",76.2424630416621,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",76.8344472291841,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
