"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",70.9012113617377,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",71.2484335839599,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",71.6791979949875,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",72.2613826232247,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",73.0137844611529,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",73.870439988861,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",74.7851772287863,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",75.7296888053467,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",76.6981110182865,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",77.6362781954887,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",78.4817156527683,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",79.2393309663047,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",79.9370220422852,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",80.5820354457573,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",81.1695906432749,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",81.7313465956558,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",82.2601847756647,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",82.7618815557412,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",83.2258826891791,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",83.640089807853,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",83.9748179973744,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",84.208864965444,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",84.3515037593985,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",84.405675647452,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
