"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",74.4935254803676,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",74.7389306599833,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",74.9286410470621,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",74.9921679197995,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",74.9237677527151,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",74.7946254525202,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",74.6419620479771,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",74.4080252715121,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",74.0885779262972,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",73.7714076858814,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",73.4952912584492,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",73.2634537733222,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",73.0632671422145,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",72.9248717030672,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",72.8630604288499,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",72.8673898287385,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",72.8853383458647,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",72.8934605031097,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",72.8913841621598,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",72.8657581453634,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",72.8214385169273,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",72.760499734184,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",72.6823853111039,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",72.5999025341131,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
