"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",94.2721386800334,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",94.8647660818714,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",95.1998050682261,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",95.3803780284044,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",95.4302422723475,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",95.36514898357,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",95.1970700560926,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",94.9208959899749,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",94.5192843219159,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",94.0032372598162,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",93.408711171869,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",92.7883945976051,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",92.1944283786389,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",91.6476459004654,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",91.1438318017265,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",90.6954887218045,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",90.2934419381787,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",89.9285250162443,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",89.5778371367014,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",89.2298454469507,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",88.8672574292875,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",88.4958608642819,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",88.1174857433438,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",87.7399662350319,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
