"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",83.7092731829574,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",83.6962197159566,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",83.5891812865497,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",83.4351503759399,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",83.2571010860485,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",83.2776385407964,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",83.452679317341,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",83.7419068504595,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",84.1269841269841,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",84.5723684210526,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",85.0768018531176,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",85.5963693957115,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",86.064921920185,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",86.470267931734,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",86.7996379838485,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",87.0571611319966,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",87.250601995184,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",87.389770723104,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",87.5010992393264,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",87.5963345864662,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",87.7284978318813,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",87.8944520391889,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",88.0759416657586,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",88.2588415483152,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
