"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",89.4423558897243,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",88.9933166248956,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",88.5547201336675,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",88.0691311612364,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",87.5772765246449,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",87.0918615984405,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",86.6183315431435,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",86.2305503341687,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",85.8883319409635,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",85.5701754385964,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",85.2296460849092,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",84.8914821776663,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",84.570400359874,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",84.2735559135935,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",83.9950570871623,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",83.7386434837092,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",83.5145461693449,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",83.316798941799,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",83.1354702545839,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",82.982978279031,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",82.8579384970363,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",82.7169723551303,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",82.5705568268498,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",82.4570105820107,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
