"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",93.609022556391,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",93.828320802005,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",94.0963519910889,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",94.3099937343358,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",94.4120718462824,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",94.4218184349763,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",94.3362871464375,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",94.1664055973266,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",93.9495730065905,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",93.7463450292397,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",93.5805422647528,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",93.4832741576163,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",93.420249341302,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",93.3845029239766,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",93.3758006126427,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",93.3786288638263,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",93.3645387979753,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",93.3311287477954,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",93.2982126368553,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",93.2808583959899,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",93.2828102001034,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",93.3168622313358,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",93.3692927972103,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",93.4260564605958,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
