"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",49.7311827956989,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"01:00","-",49.0793010752688,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"02:00","-",48.3109318996416,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"03:00","-",47.6041666666667,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"04:00","-",46.5672043010753,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"05:00","-",45.5421146953405,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"06:00","-",44.65821812596,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"07:00","-",43.8188844086021,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"08:00","-",43.0734767025089,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"09:00","-",42.4086021505376,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"10:00","-",41.760752688172,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"11:00","-",41.1570340501792,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"12:00","-",40.616211745244,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"13:00","-",40.1056067588325,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"14:00","-",39.6137992831541,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"15:00","-",39.169186827957,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"16:00","-",38.8021821631878,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"17:00","-",38.5103046594982,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"18:00","-",38.2371250707414,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"19:00","-",37.9650537634409,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"20:00","-",37.6772913466462,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"21:00","-",37.3503176930596,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"22:00","-",37.0149602618046,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"23:00","-",36.6476254480287,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
