"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",52.5898078529658,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",53.0597326649958,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",53.4948482316903,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",53.9147347535505,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",54.3212197159565,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",54.7218741297689,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",55.1191968015276,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",55.4994256474519,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",55.8525944490857,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",56.1862990810359,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",56.5105946684894,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",56.8622076023392,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",57.2243911059701,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",57.5859291084855,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",57.9413812308549,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",58.2889515455305,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",58.6343309253526,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",58.9784646802191,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",59.3245723959021,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",59.671313700919,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",60.0131280582409,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"21:00","-",60.3656394774816,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"22:00","-",60.725636555156,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"23:00","-",61.0760843079922,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
