"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","52","97","28","13","0","27","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"01:00","51","95","27","13","0","27","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"02:00","48","90","25","13","0","27","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"03:00","45","87","22","12","0","26","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","42","82","19","12","0","26","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","39","79","17","11","0","26","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","37","77","15","11","0","26","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","35","75","14","11","0","26","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","34","74","13","11","0","25","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","33","73","12","11","0","25","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","34","74","12","11","0","25","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","35","75","12","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","34","73","12","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","32","70","11","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","31","69","10","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","32","70","10","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","31","70","11","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","32","71","11","11","0","24","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","33","72","13","12","0","23","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","34","73","16","12","0","23","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","35","75","18","13","0","23","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
