"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","10","34","6","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"01:00","10","33","6","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"02:00","10","33","5","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"03:00","10","33","5","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","9","31","5","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"06:00","9","30","5","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"07:00","9","29","4","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"08:00","9","29","4","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"09:00","8","28","3","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"10:00","8","29","3","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"11:00","9","30","3","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"12:00","10","32","3","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"13:00","10","34","4","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"14:00","11","36","4","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"15:00","11","37","4","5","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"16:00","11","38","4","6","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"17:00","12","39","4","6","0","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"18:00","12","41","5","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"19:00","13","43","6","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"20:00","13","45","7","6","0","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"21:00","14","46","8","7","0","12","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"22:00","14","46","9","7","0","12","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"23:00","14","46","9","7","0","11","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
