"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","24","79","10","22","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","26","82","10","21","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","27","86","10","21","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","27","86","10","21","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","26","85","10","21","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","28","87","10","20","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13:00","29","90","10","20","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","31","93","10","18","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","33","99","10","18","17","22","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","36","104","11","17","17","22","Baik","Tidak Sehat","Baik","Baik","Baik","Baik","pm25","Tidak Sehat"
