name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"JAKARTA OBSERVATORY, ID",7/8/2022,91.4,77,84.1,102.7,77,91.8,75.7,76.9,0,0,0,rain,0,0,10.1,11.4,312.6,1008.9,44.5,3.7,231.4,20,8,30,2022-07-08T06:04:26,2022-07-08T17:51:11,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/9/2022,89.6,75.2,82.9,96.4,75.2,87.4,72.5,72.1,0,0,0,rain,0,0,11.4,14.7,357.8,1008.4,49.5,4.8,216.4,18.7,8,10,2022-07-09T06:04:31,2022-07-09T17:51:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/10/2022,90.2,75.2,82.8,97.5,75.2,87.2,72,70.5,0,0,0,rain,0,0,21.9,16.1,85.5,1008.7,40.1,4.6,226.8,19.6,8,10,2022-07-10T06:04:37,2022-07-10T17:51:36,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/11/2022,89.6,77,83.2,96.4,77,88.2,73.8,74.4,0,0,0,rain,0,0,10.1,11.4,95.3,1009.5,41.6,4.2,197.9,17,8,10,2022-07-11T06:04:41,2022-07-11T17:51:48,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/12/2022,90.7,78.8,84.2,101.5,78.8,92.7,76.8,79.4,0,0,0,rain,0,0,15.2,17.2,86.1,1008.7,45.1,3.9,201.8,17.4,7,30,2022-07-12T06:04:45,2022-07-12T17:51:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/13/2022,89.2,75.2,80.7,100.1,75.2,86,76.3,86.9,0.009,100,8.33,rain,0,0,15.4,12.8,131.9,1008.4,65.6,3.3,131.6,11.3,5,30,2022-07-13T06:04:49,2022-07-13T17:52:11,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/14/2022,91,77,82.8,102.5,77,89.6,76.3,81.7,0,0,0,rain,0,0,19,16.1,75.1,1008.3,47,4.1,163.3,14.1,7,30,2022-07-14T06:04:51,2022-07-14T17:52:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/15/2022,91.1,75.2,82.7,105.2,75.2,89.7,76.3,81.9,0.29,100,8.33,rain,0,0,14.8,16.1,69.8,1009,53.1,4.1,166.7,14.4,6,60,2022-07-15T06:04:53,2022-07-15T17:52:33,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/16/2022,85.4,73.4,78.1,91.4,73.4,80.1,73.4,86.3,1.616,100,12.5,rain,0,0,16.1,13.9,224,1010.5,70.3,4.2,77.2,6.7,4,10,2022-07-16T06:04:55,2022-07-16T17:52:43,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/17/2022,89.6,77,81.4,102.6,77,86.6,76.1,84.5,0,0,0,rain,0,0,19,13.9,94.2,1009.9,61.7,4.1,146.7,12.7,6,30,2022-07-17T06:04:55,2022-07-17T17:52:54,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/18/2022,89.6,77,82.7,102.6,77,89.4,76.4,82.1,0,0,0,rain,0,0,11,9.2,358.4,1008.9,51.5,3.5,224.9,19.3,8,30,2022-07-18T06:04:55,2022-07-18T17:53:03,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/19/2022,89.6,78.8,84,102.6,78.8,92.5,77,80.5,0,0,0,rain,0,0,11,16.1,61,1008.4,42.6,3.9,232.7,20.1,8,30,2022-07-19T06:04:55,2022-07-19T17:53:13,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/20/2022,91.4,78.8,84.4,104.2,78.8,93.5,77.2,80.1,0,0,0,rain,0,0,13.6,12.8,64.4,1009,46.8,3.7,216.4,18.9,8,30,2022-07-20T06:04:53,2022-07-20T17:53:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/21/2022,89.6,77,83.3,100.3,77,89.6,75.5,78.5,0,0,0,,0,0,12.8,13.6,335.6,1009.3,38.2,3.7,239.8,20.6,8,10,2022-07-21T06:04:51,2022-07-21T17:53:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/22/2022,89.6,78.8,83.2,100.3,78.8,90.5,76.2,80.2,0,0,0,rain,0,0,19.7,18.3,72.8,1010.2,50.7,3.3,201,17.4,7,30,2022-07-22T06:04:48,2022-07-22T17:53:39,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/23/2022,90.7,77,83.6,102.6,77,90.5,76.1,79.3,0,0,0,rain,0,0,14.3,11.4,68,1009.5,42.2,4.4,219.7,19,7,30,2022-07-23T06:04:45,2022-07-23T17:53:46,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/24/2022,93.5,77,83.6,103.7,77,90.2,75.4,77.5,0,0,0,rain,0,0,13.2,12.6,341.9,1008.1,42.3,4.5,204.5,17.6,7,10,2022-07-24T06:04:41,2022-07-24T17:53:54,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/25/2022,88.4,77,82.9,97.8,77,88.7,75.3,79,0.004,100,12.5,rain,0,0,12.8,11.4,26.8,1008.3,66.1,3.8,205.1,17.6,7,10,2022-07-25T06:04:36,2022-07-25T17:54:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/26/2022,89.6,77,83.2,98.2,77,88.7,73.6,73.9,0,0,0,,0,0,14.5,15,71.4,1009,49.1,4.3,223.2,19.4,7,10,2022-07-26T06:04:30,2022-07-26T17:54:07,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/27/2022,91.4,77,83.4,98.4,77,88.2,73.3,72.8,0,0,0,,0,0,14.3,10.3,79.4,1008.8,44.1,3.9,240.3,20.7,8,10,2022-07-27T06:04:23,2022-07-27T17:54:13,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/28/2022,91.4,78.8,84.3,102.7,78.8,91.4,75.2,75,0,0,0,,0,0,19,17.2,78.4,1008.4,43.4,4.6,228.6,19.7,8,10,2022-07-28T06:04:16,2022-07-28T17:54:18,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/29/2022,91.4,78.8,84.7,105.1,78.8,93.5,76.3,76.8,0.003,100,8.33,rain,0,0,15,17.2,81.3,1008.6,45.6,5,238.2,20.7,8,30,2022-07-29T06:04:08,2022-07-29T17:54:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
