,precision,recall,f1-score,support
Baik,0.7607,0.5633,0.6473,158.0
Sedang,0.8675,0.953,0.9082,914.0
Tidak Sehat,0.4444,0.1579,0.233,76.0
Sangat Tidak Sehat,0.0,0.0,0.0,0.0
Berbahaya,0.0,0.0,0.0,0.0
accuracy,0.8467,0.8467,0.8467,0.8467
macro avg,0.4145,0.3348,0.3577,1148.0
weighted avg,0.8248,0.8467,0.8276,1148.0
