ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
77.496216,69.71236,7.7838593,7.7838593,Sedang,Sedang
73.7301,82.73471,-9.004608,9.004608,Sedang,Sedang
84.26226,81.99238,2.2698822,2.2698822,Sedang,Sedang
82.736275,84.3098,-1.5735245,1.5735245,Sedang,Sedang
86.45844,80.41464,6.0438004,6.0438004,Sedang,Sedang
85.837555,80.55786,5.2796936,5.2796936,Sedang,Sedang
72.19478,65.46547,6.729309,6.729309,Sedang,Sedang
62.62584,68.16647,-5.540634,5.540634,Sedang,Sedang
63.629803,80.22273,-16.59293,16.59293,Sedang,Sedang
60.919704,74.04152,-13.121815,13.121815,Sedang,Sedang
75.4379,68.26808,7.169815,7.169815,Sedang,Sedang
85.37719,79.42802,5.949173,5.949173,Sedang,Sedang
95.83132,87.70836,8.122963,8.122963,Sedang,Sedang
81.1047,88.08394,-6.9792404,6.9792404,Sedang,Sedang
74.59173,66.403275,8.188454,8.188454,Sedang,Sedang
57.49523,65.79727,-8.30204,8.30204,Sedang,Sedang
71.48974,65.91466,5.575081,5.575081,Sedang,Sedang
93.137085,72.65836,20.478722,20.478722,Sedang,Sedang
103.03132,88.899,14.132317,14.132317,Tidak Sehat,Sedang
100.76067,94.961655,5.799019,5.799019,Tidak Sehat,Sedang
117.891884,87.3432,30.548683,30.548683,Tidak Sehat,Sedang
79.70742,94.745674,-15.038254,15.038254,Sedang,Sedang
64.207695,79.58971,-15.382011,15.382011,Sedang,Sedang
61.613316,78.82053,-17.207218,17.207218,Sedang,Sedang
67.76566,73.54124,-5.7755737,5.7755737,Sedang,Sedang
53.07211,76.37539,-23.30328,23.30328,Sedang,Sedang
52.370686,62.53277,-10.162083,10.162083,Sedang,Sedang
51.99933,49.44474,2.5545883,2.5545883,Sedang,Baik
44.250694,59.865395,-15.6147,15.6147,Baik,Sedang
54.983532,44.982323,10.001209,10.001209,Sedang,Baik
19.116795,62.503628,-43.386833,43.386833,Baik,Sedang
48.98016,49.72528,-0.745121,0.745121,Baik,Baik
38.4555,47.78082,-9.325317,9.325317,Baik,Baik
39.145348,40.4488,-1.3034515,1.3034515,Baik,Baik
40.492252,52.436653,-11.944401,11.944401,Baik,Sedang
28.207474,34.988186,-6.780712,6.780712,Baik,Baik
17.823902,35.183826,-17.359924,17.359924,Baik,Baik
28.296806,38.28849,-9.991684,9.991684,Baik,Baik
32.10663,43.332527,-11.225899,11.225899,Baik,Baik
40.92492,42.42095,-1.4960327,1.4960327,Baik,Baik
72.45182,45.177437,27.274384,27.274384,Sedang,Baik
78.26402,68.29294,9.971085,9.971085,Sedang,Sedang
58.363537,53.5298,4.8337364,4.8337364,Sedang,Sedang
44.43141,53.98741,-9.556,9.556,Baik,Sedang
14.707368,48.71607,-34.0087,34.0087,Baik,Baik
37.46507,44.65645,-7.1913795,7.1913795,Baik,Baik
40.621265,38.7394,1.8818665,1.8818665,Baik,Baik
38.727165,43.71865,-4.9914856,4.9914856,Baik,Baik
28.934883,36.314972,-7.380089,7.380089,Baik,Baik
31.34745,38.23028,-6.8828316,6.8828316,Baik,Baik
33.580124,47.224846,-13.644722,13.644722,Baik,Baik
34.226982,49.952415,-15.725433,15.725433,Baik,Baik
21.549526,46.92221,-25.372684,25.372684,Baik,Baik
34.697067,39.901062,-5.2039948,5.2039948,Baik,Baik
44.744244,37.355568,7.3886757,7.3886757,Baik,Baik
