,precision,recall,f1-score,support
Baik,0.8571,0.4828,0.6176,174.0
Sedang,0.8406,0.9262,0.8813,894.0
Tidak Sehat,0.0862,0.0685,0.0763,73.0
Sangat Tidak Sehat,0.0,0.0,0.0,0.0
Berbahaya,0.0,0.0,0.0,0.0
accuracy,0.8037,0.8037,0.8037,0.8037
macro avg,0.3568,0.2955,0.3151,1141.0
weighted avg,0.7949,0.8037,0.7896,1141.0
