model,dataset,tuning,val_RMSE,test_RMSE,test_R2,test_MAE,params
Random Forest,v1 (6 cuaca),Grid Search,11.5117,12.3091,0.6461,8.9574,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 600}"
Random Forest,v2 (15 cuaca),Grid Search,13.4955,14.4454,0.5843,10.5524,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
