tanggal,station,ISPU PM2.5,kategori_pm25,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-07-20,bundaran hi,84.45833333333333,Sedang,84.59236003912066,-0.13402670578733478,0.13402670578733478,Sedang,Sedang
2024-07-20,jagakarsa,88.125,Sedang,84.22339284181058,3.901607158189421,3.901607158189421,Sedang,Sedang
2024-07-20,kebun jeruk,92.25,Sedang,85.05330567482055,7.19669432517945,7.19669432517945,Sedang,Sedang
2024-07-20,kelapa gading,88.125,Sedang,87.027789492062,1.0972105079380015,1.0972105079380015,Sedang,Sedang
2024-07-20,lubang buaya,84.33333333333333,Sedang,82.92290814315815,1.4104251901751752,1.4104251901751752,Sedang,Sedang
2024-07-20,us embassy 1,80.07187239292332,Sedang,78.02013471771296,2.0517376752103615,2.0517376752103615,Sedang,Sedang
2024-07-20,us embassy 2,87.54861314604335,Sedang,92.93666746695675,-5.3880543209133975,5.3880543209133975,Sedang,Sedang
2024-07-21,bundaran hi,84.375,Sedang,84.80954403231011,-0.4345440323101144,0.4345440323101144,Sedang,Sedang
2024-07-21,jagakarsa,83.33333333333333,Sedang,86.47068040902418,-3.1373470756908546,3.1373470756908546,Sedang,Sedang
2024-07-21,kebun jeruk,56.54166666666666,Sedang,87.31438458610377,-30.772717919437113,30.772717919437113,Sedang,Sedang
2024-07-21,kelapa gading,87.95833333333333,Sedang,85.81880761697286,2.139525716360467,2.139525716360467,Sedang,Sedang
2024-07-21,lubang buaya,81.04166666666667,Sedang,87.55143825133354,-6.509771584666865,6.509771584666865,Sedang,Sedang
2024-07-21,us embassy 1,82.46410491740347,Sedang,77.84566807998225,4.618436837421228,4.618436837421228,Sedang,Sedang
2024-07-21,us embassy 2,78.03021054307466,Sedang,91.16571570335003,-13.135505160275372,13.135505160275372,Sedang,Sedang
2024-07-22,bundaran hi,81.79166666666667,Sedang,85.4930773572487,-3.7014106905820228,3.7014106905820228,Sedang,Sedang
2024-07-22,jagakarsa,80.125,Sedang,84.75912028740285,-4.634120287402851,4.634120287402851,Sedang,Sedang
2024-07-22,kebun jeruk,55.583333333333336,Sedang,66.75604121487383,-11.172707881540497,11.172707881540497,Sedang,Sedang
2024-07-22,kelapa gading,64.41666666666667,Sedang,86.62209415486522,-22.205427488198552,22.205427488198552,Sedang,Sedang
2024-07-22,lubang buaya,80.66666666666667,Sedang,84.0187500010519,-3.3520833343852274,3.3520833343852274,Sedang,Sedang
2024-07-22,us embassy 1,76.98398157212164,Sedang,81.30426000201929,-4.320278429897655,4.320278429897655,Sedang,Sedang
2024-07-22,us embassy 2,76.63627269929205,Sedang,82.07889551086768,-5.442622811575632,5.442622811575632,Sedang,Sedang
2024-07-23,bundaran hi,90.0,Sedang,83.89423542945151,6.105764570548487,6.105764570548487,Sedang,Sedang
2024-07-23,jagakarsa,82.29166666666667,Sedang,83.85558681733004,-1.563920150663364,1.563920150663364,Sedang,Sedang
2024-07-23,kebun jeruk,86.5,Sedang,70.43248160751654,16.067518392483464,16.067518392483464,Sedang,Sedang
2024-07-23,kelapa gading,51.625,Sedang,72.30920106380789,-20.68420106380789,20.68420106380789,Sedang,Sedang
2024-07-23,lubang buaya,82.66666666666667,Sedang,83.42586046886838,-0.7591938022017075,0.7591938022017075,Sedang,Sedang
2024-07-23,us embassy 1,81.38140742138103,Sedang,78.78391675792949,2.597490663451538,2.597490663451538,Sedang,Sedang
2024-07-23,us embassy 2,76.63627269929205,Sedang,81.39598078998598,-4.759708090693934,4.759708090693934,Sedang,Sedang
2024-07-24,bundaran hi,99.875,Sedang,89.8655230569759,10.009476943024097,10.009476943024097,Sedang,Sedang
2024-07-24,jagakarsa,83.375,Sedang,84.89661423695354,-1.521614236953539,1.521614236953539,Sedang,Sedang
2024-07-24,kebun jeruk,94.66666666666669,Sedang,89.19538055911158,5.471286107555102,5.471286107555102,Sedang,Sedang
2024-07-24,kelapa gading,110.33333333333331,Tidak Sehat,70.41281189855586,39.920521434777456,39.920521434777456,Tidak Sehat,Sedang
2024-07-24,lubang buaya,85.29166666666667,Sedang,83.6689821484178,1.6226845182488745,1.6226845182488745,Sedang,Sedang
2024-07-24,us embassy 1,91.22163053793857,Sedang,80.7848643703653,10.436766167573268,10.436766167573268,Sedang,Sedang
2024-07-24,us embassy 2,76.63627269929205,Sedang,82.70444050852765,-6.068167809235604,6.068167809235604,Sedang,Sedang
2024-07-25,bundaran hi,84.16666666666667,Sedang,90.7030672812284,-6.536400614561728,6.536400614561728,Sedang,Sedang
2024-07-25,jagakarsa,72.20833333333333,Sedang,82.35017110423803,-10.1418377709047,10.1418377709047,Sedang,Sedang
2024-07-25,kebun jeruk,85.0,Sedang,88.33064553108416,-3.3306455310841585,3.3306455310841585,Sedang,Sedang
2024-07-25,kelapa gading,98.29166666666669,Sedang,96.7991927849967,1.49247388166998,1.49247388166998,Sedang,Sedang
2024-07-25,lubang buaya,71.83333333333333,Sedang,89.09017783764331,-17.25684450430998,17.25684450430998,Sedang,Sedang
2024-07-25,us embassy 1,89.04638023397821,Sedang,91.20174106909046,-2.1553608351122477,2.1553608351122477,Sedang,Sedang
2024-07-25,us embassy 2,76.63627269929205,Sedang,80.0534622324785,-3.417189533186445,3.417189533186445,Sedang,Sedang
2024-07-26,bundaran hi,82.91666666666667,Sedang,81.7168052353302,1.1998614313364726,1.1998614313364726,Sedang,Sedang
2024-07-26,jagakarsa,76.04166666666667,Sedang,77.0082543983014,-0.966587731634732,0.966587731634732,Sedang,Sedang
2024-07-26,kebun jeruk,86.33333333333333,Sedang,84.88849435133255,1.4448389820007748,1.4448389820007748,Sedang,Sedang
2024-07-26,kelapa gading,89.20833333333333,Sedang,91.99911801336981,-2.790784680036481,2.790784680036481,Sedang,Sedang
2024-07-26,lubang buaya,76.125,Sedang,77.9976084511139,-1.872608451113905,1.872608451113905,Sedang,Sedang
2024-07-26,us embassy 1,75.53521622368329,Sedang,87.58224520872953,-12.04702898504624,12.04702898504624,Sedang,Sedang
2024-07-26,us embassy 2,76.63627269929205,Sedang,79.73522412781404,-3.0989514285219855,3.0989514285219855,Sedang,Sedang
2024-07-27,bundaran hi,94.70833333333331,Sedang,84.12231697209751,10.586016361235806,10.586016361235806,Sedang,Sedang
2024-07-27,jagakarsa,87.41666666666667,Sedang,81.89511517167733,5.521551494989339,5.521551494989339,Sedang,Sedang
2024-07-27,kebun jeruk,92.625,Sedang,86.8339561480972,5.791043851902799,5.791043851902799,Sedang,Sedang
2024-07-27,kelapa gading,100.875,Tidak Sehat,87.86990344468957,13.00509655531043,13.00509655531043,Tidak Sehat,Sedang
2024-07-27,lubang buaya,89.20833333333333,Sedang,81.32415474970435,7.88417858362898,7.88417858362898,Sedang,Sedang
2024-07-27,us embassy 1,89.15766991512525,Sedang,80.91154236466922,8.246127550456038,8.246127550456038,Sedang,Sedang
2024-07-27,us embassy 2,76.63627269929205,Sedang,78.70439088605785,-2.068118186765801,2.068118186765801,Sedang,Sedang
2024-07-28,bundaran hi,98.20833333333331,Sedang,92.60979569608335,5.598537637249962,5.598537637249962,Sedang,Sedang
2024-07-28,jagakarsa,96.25,Sedang,89.45990820764766,6.790091792352342,6.790091792352342,Sedang,Sedang
2024-07-28,kebun jeruk,99.5,Sedang,90.5947944273807,8.905205572619295,8.905205572619295,Sedang,Sedang
2024-07-28,kelapa gading,101.08333333333331,Tidak Sehat,96.43993111614718,4.643402217186136,4.643402217186136,Tidak Sehat,Sedang
2024-07-28,lubang buaya,91.70833333333331,Sedang,89.85037178352019,1.8579615498131261,1.8579615498131261,Sedang,Sedang
2024-07-28,us embassy 1,90.82929468716104,Sedang,90.34789595782252,0.48139872933852246,0.48139872933852246,Sedang,Sedang
2024-07-28,us embassy 2,76.63627269929205,Sedang,77.69891734745148,-1.0626446481594343,1.0626446481594343,Sedang,Sedang
2024-07-29,bundaran hi,93.95833333333331,Sedang,89.39376881047188,4.564564522861431,4.564564522861431,Sedang,Sedang
2024-07-29,jagakarsa,94.5,Sedang,89.74768456016591,4.752315439834092,4.752315439834092,Sedang,Sedang
2024-07-29,kebun jeruk,98.375,Sedang,89.13080761022792,9.244192389772081,9.244192389772081,Sedang,Sedang
2024-07-29,kelapa gading,96.875,Sedang,86.78893012740181,10.086069872598188,10.086069872598188,Sedang,Sedang
2024-07-29,lubang buaya,95.95833333333331,Sedang,86.13805634871215,9.82027698462116,9.82027698462116,Sedang,Sedang
2024-07-29,us embassy 1,52.33746339097417,Sedang,88.26479342703733,-35.92733003606316,35.92733003606316,Sedang,Sedang
