model,n_aktual_PM25_gt_100,n_prediksi_PM25_gt_100,MAE_PM25_gt_100,RMSE_PM25_gt_100,MAPE_PM25_gt_100,rata_aktual_PM25_gt_100,rata_prediksi_PM25_gt_100
Random Forest + Lag/Rolling,73,10,18.8893,21.5495,17.1744,107.3936,88.5044
Random Forest + Lag/Rolling + Weighted High PM2.5,73,15,17.5901,20.4616,15.9781,107.3936,89.8036
