model,jenis,val_RMSE,test_MAE,test_RMSE,test_R2,test_MAPE,recall_Tidak_Sehat,accuracy_kategori,MAE_PM25_gt_100,n_pred_PM25_gt_100
Random Forest Optuna,Random Forest (Grid Search dari 02_Modelling.ipynb),11.3717,9.5237,13.8742,0.5734,17.9856,0.1316,0.8545,18.2597,10
"LSTM Optuna TPE | LSTM units=32, dropout=0.317454, lr=0.00112594",LSTM TERBAIK FINAL (lstm_tuning),12.1812,10.1945,14.5596,0.5319,19.5818,0.1579,0.8467,16.9166,12
