tanggal,station,ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-09-19,bundaran hi,74.0,81.90712,-7.9071198,7.9071198,Sedang,Sedang
2024-09-20,bundaran hi,81.208336,79.536095,1.6722412,1.6722412,Sedang,Sedang
2024-09-21,bundaran hi,90.416664,80.617,9.799667,9.799667,Sedang,Sedang
2024-09-22,bundaran hi,74.0,87.77756,-13.777557,13.777557,Sedang,Sedang
2024-09-23,bundaran hi,83.958336,76.57762,7.3807144,7.3807144,Sedang,Sedang
2024-09-24,bundaran hi,76.75,82.54537,-5.795372,5.795372,Sedang,Sedang
2024-09-25,bundaran hi,85.0,77.48041,7.5195923,7.5195923,Sedang,Sedang
2024-09-26,bundaran hi,72.708336,77.536674,-4.8283386,4.8283386,Sedang,Sedang
2024-09-27,bundaran hi,72.0,72.77162,-0.7716217,0.7716217,Sedang,Sedang
2024-09-28,bundaran hi,81.708336,70.28661,11.421722,11.421722,Sedang,Sedang
2024-09-29,bundaran hi,74.0,77.42978,-3.429779,3.429779,Sedang,Sedang
2024-09-30,bundaran hi,72.708336,77.11155,-4.4032135,4.4032135,Sedang,Sedang
2024-10-01,bundaran hi,86.125,78.09922,8.02578,8.02578,Sedang,Sedang
2024-10-02,bundaran hi,87.625,86.31966,1.3053436,1.3053436,Sedang,Sedang
2024-10-03,bundaran hi,69.791664,87.231094,-17.43943,17.43943,Sedang,Sedang
2024-10-04,bundaran hi,84.416664,79.31116,5.105507,5.105507,Sedang,Sedang
2024-10-05,bundaran hi,79.625,80.52336,-0.8983612,0.8983612,Sedang,Sedang
2024-10-06,bundaran hi,75.625,80.23162,-4.606621,4.606621,Sedang,Sedang
2024-10-07,bundaran hi,101.916664,74.26397,27.652695,27.652695,Tidak Sehat,Sedang
2024-10-08,bundaran hi,81.708336,85.49229,-3.7839508,3.7839508,Sedang,Sedang
2024-10-09,bundaran hi,75.375,82.91644,-7.541443,7.541443,Sedang,Sedang
2024-10-10,bundaran hi,74.166664,82.27762,-8.110954,8.110954,Sedang,Sedang
2024-10-11,bundaran hi,74.0,80.758316,-6.758316,6.758316,Sedang,Sedang
2024-10-12,bundaran hi,74.0,74.30893,-0.30892944,0.30892944,Sedang,Sedang
2024-10-13,bundaran hi,74.0,72.23227,1.7677307,1.7677307,Sedang,Sedang
2024-10-14,bundaran hi,74.0,67.786995,6.213005,6.213005,Sedang,Sedang
2024-10-15,bundaran hi,74.0,79.36023,-5.3602295,5.3602295,Sedang,Sedang
2024-10-16,bundaran hi,74.0,80.24364,-6.243637,6.243637,Sedang,Sedang
2024-10-17,bundaran hi,74.0,82.42271,-8.422707,8.422707,Sedang,Sedang
2024-10-18,bundaran hi,30.833334,80.00907,-49.175735,49.175735,Baik,Sedang
2024-10-19,bundaran hi,0.0,60.28349,-60.28349,60.28349,Baik,Sedang
2024-10-20,bundaran hi,74.0,39.28945,34.71055,34.71055,Sedang,Baik
2024-10-21,bundaran hi,74.0,63.74967,10.250332,10.250332,Sedang,Sedang
2024-10-22,bundaran hi,43.166668,77.391,-34.22433,34.22433,Baik,Sedang
2024-10-23,bundaran hi,0.0,64.45403,-64.45403,64.45403,Baik,Sedang
2024-10-24,bundaran hi,74.0,46.664932,27.335068,27.335068,Sedang,Baik
2024-10-25,bundaran hi,64.75,63.948215,0.8017845,0.8017845,Sedang,Sedang
2024-10-26,bundaran hi,27.75,69.75037,-42.000366,42.000366,Baik,Sedang
2024-10-27,bundaran hi,55.5,48.429695,7.070305,7.070305,Sedang,Baik
2024-10-28,bundaran hi,58.583332,60.975742,-2.3924103,2.3924103,Sedang,Sedang
