metode,n_evaluasi,ruang_pencarian,waktu_total_detik,rata2_waktu_per_trial,best_units,best_dropout,best_learning_rate,best_epoch,best_val_MAE,best_val_RMSE,best_val_R2,best_test_MAE,best_test_RMSE,best_test_R2,best_test_MAPE,recall_TidakSehat_test,jumlah_prediksi_PM25_gt_100,keterangan
Optuna TPE,16,"units={32,64,96,128}; dropout=[0.1,0.4]; learning_rate=[3e-4,2e-3] log",183.7,11.5,32,0.317454,0.00112594,22,9.0046,12.1812,0.5303,10.7002,15.214,0.4889,20.2128,0.2368,54,<== PEMENANG by val_RMSE
Grid Search,12,"units={32,64,128}; dropout={0.1,0.3}; learning_rate={1e-3,5e-4}",138.1,11.5,32,0.3,0.001,22,9.059,12.2503,0.525,10.7567,15.2504,0.4865,20.2648,0.2105,54,
