model,dataset,tuning,val_RMSE,test_RMSE,test_R2,test_MAE,params
LSTM,v1 (6 cuaca),Arch Search @ L14,11.7219,13.3192,0.5857,9.6633,"{'arch': 'B_LSTM128_Dropout0.3_Dense64', 'lookback': 14}"
LSTM,v2 (15 cuaca),Arch Search @ L14,14.0481,16.4157,0.4632,12.2286,"{'arch': 'A_LSTM64_Dropout0.2_Dense32', 'lookback': 14}"
