n_train,train_RMSE,val_RMSE
534,5.25417853329366,14.200297716046967
1068,6.288404960903078,11.958280564951204
2136,6.351915135988745,11.901090751687734
3204,6.006809818525588,11.945909978973765
4272,6.0908496179275975,12.096186183728998
5341,6.173451501887838,11.54938317044997
